language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 32, 37, 64, 88]","[18, 22, 30, 48, 78]","[[[15, 32], 15], [[32, 37], 32], [[37, 64], 37], [[64, 88], 64], [[88, 100], 88]]","[[[15, 32], 15], [[32, 37], 32], [[37, 64], 37], [[64, 88], 64], [[88, 100], 88]]",[],[],[]
artificial_language_g0_23,"[1, 2, 3, 4, 5, 6, 7]","[8, 16, 35, 55, 69]","[78, 94, 95]","[[[8, 16], 8], [[16, 35], 16], [[35, 55], 35], [[55, 69], 55], [[69, 100], 69]]","[[[8, 16], 4], [[16, 35], 16], [[35, 55], 35], [[55, 69], 55], [[69, 100], 69]]","[[[8, 16], 5]]",[],[]
artificial_language_g0_24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 32, 98]","[22, 37, 54, 95]","[[[14, 32], 14], [[32, 98], 32], [[98, 100], 98]]","[[[14, 32], 14], [[32, 98], 32], [[98, 100], 98]]",[],[],[]
artificial_language_g0_25,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 26]",[],"[[[13, 26], 13], [[26, 100], 26]]","[[[13, 26], 2], [[26, 100], 26]]","[[[13, 26], 12]]",[],[]
artificial_language_g0_26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 24, 42]",[73],"[[[12, 24], 12], [[24, 42], 24], [[42, 100], 42]]","[[[12, 24], 8], [[24, 42], 24], [[42, 100], 42]]","[[[12, 24], 5]]",[],[]
artificial_language_g0_27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 24, 46, 74]","[26, 37, 40, 83, 93]","[[[19, 24], 19], [[24, 46], 24], [[46, 74], 46], [[74, 100], 74]]","[[[19, 24], 19], [[24, 46], 24], [[46, 74], 46], [[74, 100], 74]]",[],[],[]
artificial_language_g0_28,"[1, 2, 3, 4, 5, 6]","[7, 14, 27, 70, 78]","[24, 29, 54, 74]","[[[7, 14], 7], [[14, 27], 14], [[27, 70], 27], [[70, 78], 70], [[78, 100], 78]]","[[[7, 14], 4], [[14, 27], 14], [[27, 70], 27], [[70, 78], 70], [[78, 100], 78]]","[[[7, 14], 4]]",[],[]
artificial_language_g0_29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 54, 84, 92]","[39, 74]","[[[21, 54], 21], [[54, 84], 54], [[84, 92], 84], [[92, 100], 92]]","[[[21, 54], 21], [[54, 84], 54], [[84, 92], 84], [[92, 100], 92]]",[],[],"[[21, [21, 54], '(1 * 21)'], [54, [54, 84], '(1 * 54)'], [84, [84, 92], '(1 * 84)'], [92, [92, 93], '(1 * 92)']]"
artificial_language_g0_30,"[1, 2]",[3],"[7, 15, 82]","[[[3, 100], 3]]","[[[3, 100], 3]]",[],[],[]
artificial_language_g0_31,"[1, 2, 3, 4, 5, 6]","[7, 36, 65, 77, 92]",[],"[[[7, 36], 7], [[36, 65], 36], [[65, 77], 65], [[77, 92], 77], [[92, 100], 92]]","[[[7, 36], 7], [[36, 65], 36], [[65, 77], 65], [[77, 92], 77], [[92, 100], 92]]",[],[],[]
artificial_language_g0_32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 56, 66, 86, 98]","[54, 73, 85, 94]","[[[21, 56], 21], [[56, 66], 56], [[66, 86], 66], [[86, 98], 86], [[98, 100], 98]]","[[[21, 56], 21], [[56, 66], 56], [[66, 86], 66], [[86, 98], 86], [[98, 100], 98]]",[],[],[]
artificial_language_g0_33,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 12, 24, 67]","[20, 42, 65]","[[[9, 12], 9], [[12, 24], 12], [[24, 67], 24], [[67, 100], 67]]","[[[9, 12], 9], [[12, 24], 12], [[24, 67], 24], [[67, 100], 67]]",[],[],[]
artificial_language_g0_34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 23]",[],"[[[20, 23], 20], [[23, 100], 23]]","[[[20, 23], 20], [[23, 100], 23]]",[],[],[]
artificial_language_g0_35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 81, 83, 96]","[45, 58, 70]","[[[11, 81], 11], [[81, 83], 81], [[83, 96], 83], [[96, 100], 96]]","[[[11, 81], 11], [[81, 83], 81], [[83, 96], 83], [[96, 100], 96]]",[],[],[]
artificial_language_g0_36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 38, 86]",[],"[[[19, 38], 19], [[38, 86], 38], [[86, 100], 86]]","[[[19, 38], 13], [[38, 86], 38], [[86, 100], 86]]","[[[19, 38], 7]]",[],[]
artificial_language_g0_37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 85]","[33, 40, 89]","[[[14, 85], 14], [[85, 100], 85]]","[[[14, 85], 14], [[85, 100], 85]]",[],[],"[[14, [14, 85], '(1 * 14)'], [85, [85, 86], '(1 * 85)']]"
artificial_language_g0_38,"[1, 2, 3, 4]","[5, 23, 86, 99]",[57],"[[[5, 23], 5], [[23, 86], 23], [[86, 99], 86], [[99, 100], 99]]","[[[5, 23], 5], [[23, 86], 23], [[86, 99], 86], [[99, 100], 99]]",[],[],"[[5, [5, 23], '(1 * 5)'], [23, [23, 86], '(1 * 23)'], [86, [86, 99], '(1 * 86)'], [99, [99, 100], '(1 * 99)']]"
artificial_language_g0_39,"[1, 2]","[3, 6]",[88],"[[[3, 6], 3], [[6, 100], 6]]","[[[3, 6], 2], [[6, 100], 6]]","[[[3, 6], 2]]",[],[]
artificial_language_g0_40,"[1, 2, 3]","[4, 38, 51, 65]",[62],"[[[4, 38], 4], [[38, 51], 38], [[51, 65], 51], [[65, 100], 65]]","[[[4, 38], 4], [[38, 51], 38], [[51, 65], 51], [[65, 100], 65]]",[],[],"[[4, [4, 38], '(1 * 4)'], [38, [38, 51], '(1 * 38)'], [51, [51, 65], '(1 * 51)'], [65, [65, 66], '(1 * 65)']]"
artificial_language_g0_41,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 14]","[42, 46, 47]","[[[12, 14], 12], [[14, 100], 14]]","[[[12, 14], 12], [[14, 100], 14]]",[],[],"[[12, [12, 14], '(1 * 12)'], [14, [14, 15], '(1 * 14)']]"
artificial_language_g0_42,"[1, 2, 3, 4, 5, 6]","[7, 11, 80]",[],"[[[7, 11], 7], [[11, 80], 11], [[80, 100], 80]]","[[[7, 11], 7], [[11, 80], 11], [[80, 100], 80]]",[],[],[]
artificial_language_g0_43,"[1, 2, 3, 4, 5, 6]","[7, 57, 68, 77, 91]","[42, 72, 85, 86]","[[[7, 57], 7], [[57, 68], 57], [[68, 77], 68], [[77, 91], 77], [[91, 100], 91]]","[[[7, 57], 7], [[57, 68], 57], [[68, 77], 68], [[77, 91], 77], [[91, 100], 91]]",[],[],[]
artificial_language_g0_44,"[1, 2, 3, 4]","[5, 83]",[],"[[[5, 83], 5], [[83, 100], 83]]","[[[5, 83], 5], [[83, 100], 83]]",[],[],[]
artificial_language_g0_45,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 22]","[23, 29, 72, 75, 79]","[[[11, 22], 11], [[22, 100], 22]]","[[[11, 22], 6], [[22, 100], 22]]","[[[11, 22], 6]]",[],"[[11, [11, 22], '(1 * 11)'], [22, [22, 23], '(1 * 22)']]"
artificial_language_g0_46,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 54]","[25, 28, 59]","[[[14, 54], 14], [[54, 100], 54]]","[[[14, 54], 14], [[54, 100], 54]]",[],[],"[[14, [14, 54], '(1 * 14)'], [54, [54, 55], '(1 * 54)']]"
artificial_language_g0_47,"[1, 2, 3, 4, 5, 6]","[7, 37]","[60, 95]","[[[7, 37], 7], [[37, 100], 37]]","[[[7, 37], 7], [[37, 100], 37]]",[],[],[]
artificial_language_g0_48,"[1, 2]","[3, 16, 56, 87, 91]","[30, 63]","[[[3, 16], 3], [[16, 56], 16], [[56, 87], 56], [[87, 91], 87], [[91, 100], 91]]","[[[3, 16], 3], [[16, 56], 16], [[56, 87], 56], [[87, 91], 87], [[91, 100], 91]]",[],[],"[[3, [3, 16], '(1 * 3)'], [16, [16, 56], '(1 * 16)'], [56, [56, 87], '(1 * 56)'], [87, [87, 91], '(1 * 87)'], [91, [91, 92], '(1 * 91)']]"
artificial_language_g0_49,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 45, 76, 78]","[26, 63, 70]","[[[20, 45], 20], [[45, 76], 45], [[76, 78], 76], [[78, 100], 78]]","[[[20, 45], 20], [[45, 76], 45], [[76, 78], 76], [[78, 100], 78]]",[],[],[]
artificial_language_g0_50,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 20, 49, 85]",[],"[[[10, 20], 10], [[20, 49], 20], [[49, 85], 49], [[85, 100], 85]]","[[[10, 20], 10], [[20, 49], 20], [[49, 85], 49], [[85, 100], 85]]",[],[],[]
artificial_language_g0_51,[1],"[2, 76]","[33, 45, 50, 77]","[[[2, 76], 2], [[76, 100], 76]]","[[[2, 76], 2], [[76, 100], 76]]",[],[],[]
artificial_language_g0_52,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 49, 83]",[],"[[[12, 49], 12], [[49, 83], 49], [[83, 100], 83]]","[[[12, 49], 12], [[49, 83], 49], [[83, 100], 83]]",[],[],"[[12, [12, 49], '(1 * 12)'], [49, [49, 83], '(1 * 49)'], [83, [83, 84], '(1 * 83)']]"
artificial_language_g0_53,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 24, 41, 52]",[],"[[[12, 24], 12], [[24, 41], 24], [[41, 52], 41], [[52, 100], 52]]","[[[12, 24], 11], [[24, 41], 24], [[41, 52], 41], [[52, 100], 52]]","[[[12, 24], 2]]",[],[]
artificial_language_g0_54,"[1, 2, 3, 4, 5, 6]","[7, 23, 73, 92]",[84],"[[[7, 23], 7], [[23, 73], 23], [[73, 92], 73], [[92, 100], 92]]","[[[7, 23], 7], [[23, 73], 23], [[73, 92], 73], [[92, 100], 92]]",[],[],[]
artificial_language_g0_55,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],"[17, 55, 62, 68, 77]","[[[12, 100], 12]]","[[[12, 100], 12]]",[],[],"[[12, [12, 13], '(1 * 12)']]"
artificial_language_g0_56,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 19, 28, 58]","[23, 25, 34, 44, 87]","[[[16, 19], 16], [[19, 28], 19], [[28, 58], 28], [[58, 100], 58]]","[[[16, 19], 16], [[19, 28], 19], [[28, 58], 28], [[58, 100], 58]]",[],[],"[[16, [16, 19], '(1 * 16)'], [19, [19, 28], '(1 * 19)'], [28, [28, 58], '(1 * 28)'], [58, [58, 59], '(1 * 58)']]"
artificial_language_g0_57,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[11],[],"[[[11, 100], 11]]","[[[11, 100], 11]]",[],[],[]
artificial_language_g0_58,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 56, 83, 85]","[28, 33, 43, 82]","[[[18, 36], 18], [[36, 56], 36], [[56, 83], 56], [[83, 85], 83], [[85, 100], 85]]","[[[18, 36], 12], [[36, 56], 36], [[56, 83], 56], [[83, 85], 83], [[85, 100], 85]]","[[[18, 36], 7]]",[],[]
artificial_language_g0_59,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 76]","[59, 78, 87, 92]","[[[9, 76], 9], [[76, 100], 76]]","[[[9, 76], 9], [[76, 100], 76]]",[],[],"[[9, [9, 76], '(1 * 9)'], [76, [76, 77], '(1 * 76)']]"
artificial_language_g0_60,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 34, 55, 72]","[26, 31, 88]","[[[17, 34], 17], [[34, 55], 34], [[55, 72], 55], [[72, 100], 72]]","[[[17, 34], 14], [[34, 55], 34], [[55, 72], 55], [[72, 100], 72]]","[[[17, 34], 4]]",[],[]
artificial_language_g0_61,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 65, 81]",[],"[[[20, 65], 20], [[65, 81], 65], [[81, 100], 81]]","[[[20, 65], 20], [[65, 81], 65], [[81, 100], 81]]",[],[],"[[20, [20, 65], '(1 * 20)'], [65, [65, 81], '(1 * 65)'], [81, [81, 82], '(1 * 81)']]"
artificial_language_g0_62,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 46, 88, 91, 99]","[22, 86]","[[[16, 46], 16], [[46, 88], 46], [[88, 91], 88], [[91, 99], 91], [[99, 100], 99]]","[[[16, 46], 16], [[46, 88], 46], [[88, 91], 88], [[91, 99], 91], [[99, 100], 99]]",[],[],[]
artificial_language_g0_63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 28, 45]","[51, 56, 71, 73]","[[[14, 28], 14], [[28, 45], 28], [[45, 100], 45]]","[[[14, 28], 9], [[28, 45], 28], [[45, 100], 45]]","[[[14, 28], 6]]",[],"[[14, [14, 28], '(1 * 14)'], [28, [28, 45], '(1 * 28)'], [45, [45, 46], '(1 * 45)']]"
artificial_language_g0_64,"[1, 2, 3, 4, 5]",[6],"[25, 39, 67, 86, 94]","[[[6, 100], 6]]","[[[6, 100], 6]]",[],[],[]
artificial_language_g0_65,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 46]",[],"[[[13, 46], 13], [[46, 100], 46]]","[[[13, 46], 13], [[46, 100], 46]]",[],[],[]
artificial_language_g0_66,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 40, 57, 64]","[20, 60, 62]","[[[16, 40], 16], [[40, 57], 40], [[57, 64], 57], [[64, 100], 64]]","[[[16, 40], 16], [[40, 57], 40], [[57, 64], 57], [[64, 100], 64]]",[],[],[]
artificial_language_g0_67,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 21, 82, 99]","[12, 24, 38, 74, 85]","[[[10, 21], 10], [[21, 82], 21], [[82, 99], 82], [[99, 100], 99]]","[[[10, 21], 10], [[21, 82], 21], [[82, 99], 82], [[99, 100], 99]]",[],[],"[[10, [10, 21], '(1 * 10)'], [21, [21, 82], '(1 * 21)'], [82, [82, 99], '(1 * 82)'], [99, [99, 100], '(1 * 99)']]"
artificial_language_g0_68,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 12, 94]",[33],"[[[10, 12], 10], [[12, 94], 12], [[94, 100], 94]]","[[[10, 12], 10], [[12, 94], 12], [[94, 100], 94]]",[],[],[]
artificial_language_g0_69,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 11, 22, 66, 67]","[14, 37, 38, 46]","[[[10, 11], 10], [[11, 22], 11], [[22, 66], 22], [[66, 67], 66], [[67, 100], 67]]","[[[10, 11], 10], [[11, 22], 11], [[22, 66], 22], [[66, 67], 66], [[67, 100], 67]]",[],[],"[[10, [10, 11], '(1 * 10)'], [11, [11, 22], '(1 * 11)'], [22, [22, 66], '(1 * 22)'], [66, [66, 67], '(1 * 66)'], [67, [67, 68], '(1 * 67)']]"
artificial_language_g0_70,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36]","[20, 27, 36, 75]","[[[18, 36], 18], [[36, 100], 36]]","[[[18, 36], 3], [[36, 100], 36]]","[[[18, 36], 16]]",[],[]
artificial_language_g0_71,"[1, 2, 3, 4, 5, 6]","[7, 64, 74]","[22, 44, 51]","[[[7, 64], 7], [[64, 74], 64], [[74, 100], 74]]","[[[7, 64], 7], [[64, 74], 64], [[74, 100], 74]]",[],[],[]
artificial_language_g0_72,"[1, 2, 3, 4]","[5, 10]","[48, 55, 90]","[[[5, 10], 5], [[10, 100], 10]]","[[[5, 10], 2], [[10, 100], 10]]","[[[5, 10], 4]]",[],[]
artificial_language_g0_73,"[1, 2, 3, 4, 5, 6]","[7, 14, 90, 98]","[17, 82]","[[[7, 14], 7], [[14, 90], 14], [[90, 98], 90], [[98, 100], 98]]","[[[7, 14], 4], [[14, 90], 14], [[90, 98], 90], [[98, 100], 98]]","[[[7, 14], 4]]",[],[]
artificial_language_g0_74,"[1, 2, 3, 4, 5, 6, 7]","[8, 30, 43, 61]",[72],"[[[8, 30], 8], [[30, 43], 30], [[43, 61], 43], [[61, 100], 61]]","[[[8, 30], 8], [[30, 43], 30], [[43, 61], 43], [[61, 100], 61]]",[],[],[]
artificial_language_g0_75,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30, 61]","[25, 38, 76]","[[[15, 30], 15], [[30, 61], 30], [[61, 100], 61]]","[[[15, 30], 6], [[30, 61], 30], [[61, 100], 61]]","[[[15, 30], 10]]",[],[]
artificial_language_g0_76,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 51]","[49, 99]","[[[16, 51], 16], [[51, 100], 51]]","[[[16, 51], 16], [[51, 100], 51]]",[],[],[]
artificial_language_g0_77,"[1, 2]",[3],[],"[[[3, 100], 3]]","[[[3, 100], 3]]",[],[],[]
artificial_language_g0_78,"[1, 2, 3]",[4],[96],"[[[4, 100], 4]]","[[[4, 100], 4]]",[],[],[]
artificial_language_g0_79,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 22, 43, 91]","[33, 50, 60]","[[[16, 22], 16], [[22, 43], 22], [[43, 91], 43], [[91, 100], 91]]","[[[16, 22], 16], [[22, 43], 22], [[43, 91], 43], [[91, 100], 91]]",[],[],[]
artificial_language_g0_80,"[1, 2, 3]","[4, 40, 80]","[24, 36, 42, 46, 91]","[[[4, 40], 4], [[40, 80], 40], [[80, 100], 80]]","[[[4, 40], 4], [[40, 80], 40], [[80, 100], 80]]",[],[],"[[4, [4, 40], '(1 * 4)'], [40, [40, 80], '(1 * 40)'], [80, [80, 81], '(1 * 80)']]"
artificial_language_g0_81,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 46, 55, 81]","[18, 44, 61, 93, 96]","[[[14, 46], 14], [[46, 55], 46], [[55, 81], 55], [[81, 100], 81]]","[[[14, 46], 14], [[46, 55], 46], [[55, 81], 55], [[81, 100], 81]]",[],[],[]
artificial_language_g0_82,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 15, 34, 68, 96]",[],"[[[13, 15], 13], [[15, 34], 15], [[34, 68], 34], [[68, 96], 68], [[96, 100], 96]]","[[[13, 15], 13], [[15, 34], 15], [[34, 68], 34], [[68, 96], 68], [[96, 100], 96]]",[],[],[]
artificial_language_g0_83,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 41, 44, 77, 78]",[75],"[[[21, 41], 21], [[41, 44], 41], [[44, 77], 44], [[77, 78], 77], [[78, 100], 78]]","[[[21, 41], 21], [[41, 44], 41], [[44, 77], 44], [[77, 78], 77], [[78, 100], 78]]",[],[],[]
artificial_language_g0_84,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36]","[24, 54, 64, 75]","[[[18, 36], 18], [[36, 100], 36]]","[[[18, 36], 16], [[36, 100], 36]]","[[[18, 36], 3]]",[],[]
artificial_language_g0_85,"[1, 2]","[3, 45, 51, 70, 76]","[39, 64]","[[[3, 45], 3], [[45, 51], 45], [[51, 70], 51], [[70, 76], 70], [[76, 100], 76]]","[[[3, 45], 3], [[45, 51], 45], [[51, 70], 51], [[70, 76], 70], [[76, 100], 76]]",[],[],"[[3, [3, 45], '(1 * 3)'], [45, [45, 51], '(1 * 45)'], [51, [51, 70], '(1 * 51)'], [70, [70, 76], '(1 * 70)'], [76, [76, 77], '(1 * 76)']]"
