language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_15,"[1, 2, 3, 4, 5, 6]","[7, 24, 75, 80, 89]","[28, 49, 54]","[[[7, 24], 7], [[24, 75], 24], [[75, 80], 75], [[80, 89], 80], [[89, 100], 89]]","[[[7, 24], 7], [[24, 75], 24], [[75, 80], 75], [[80, 89], 80], [[89, 100], 89]]",[],[],[]
artificial_language_g0_16,"[1, 2, 3]","[4, 8, 36, 40, 48]","[11, 31, 60, 82]","[[[4, 8], 4], [[8, 36], 8], [[36, 40], 36], [[40, 48], 40], [[48, 100], 48]]","[[[4, 8], 1], [[8, 36], 8], [[36, 40], 36], [[40, 48], 40], [[48, 100], 48]]","[[[4, 8], 4]]",[],"[[4, [4, 8], '(1 * 4)'], [8, [8, 36], '(1 * 8)'], [36, [36, 40], '(1 * 36)'], [40, [40, 48], '(1 * 40)'], [48, [48, 49], '(1 * 48)']]"
artificial_language_g0_17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 28, 41]","[18, 32, 87]","[[[14, 28], 14], [[28, 41], 28], [[41, 100], 41]]","[[[14, 28], 8], [[28, 41], 28], [[41, 100], 41]]","[[[14, 28], 7]]",[],[]
artificial_language_g0_18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 25, 37, 56, 86]","[13, 23, 84]","[[[12, 25], 12], [[25, 37], 25], [[37, 56], 37], [[56, 86], 56], [[86, 100], 86]]","[[[12, 25], 12], [[25, 37], 25], [[37, 56], 37], [[56, 86], 56], [[86, 100], 86]]",[],[],"[[12, [12, 25], '(1 * 12)'], [25, [25, 37], '(1 * 25)'], [37, [37, 56], '(1 * 37)'], [56, [56, 86], '(1 * 56)'], [86, [86, 87], '(1 * 86)']]"
artificial_language_g0_19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 26, 65, 87]","[43, 53, 70, 93, 95]","[[[13, 26], 13], [[26, 65], 26], [[65, 87], 65], [[87, 100], 87]]","[[[13, 26], 2], [[26, 65], 26], [[65, 87], 65], [[87, 100], 87]]","[[[13, 26], 12]]",[],[]
artificial_language_g0_20,"[1, 2, 3, 4, 5, 6]","[7, 24, 98]","[14, 30, 45, 49, 63]","[[[7, 24], 7], [[24, 98], 24], [[98, 100], 98]]","[[[7, 24], 7], [[24, 98], 24], [[98, 100], 98]]",[],[],[]
artificial_language_g0_21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 31, 58, 69]",[],"[[[11, 31], 11], [[31, 58], 31], [[58, 69], 58], [[69, 100], 69]]","[[[11, 31], 11], [[31, 58], 31], [[58, 69], 58], [[69, 100], 69]]",[],[],[]
artificial_language_g0_22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[13],"[44, 86, 91]","[[[13, 100], 13]]","[[[13, 100], 13]]",[],[],"[[13, [13, 14], '(1 * 13)']]"
artificial_language_g0_23,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 36, 84, 93]","[41, 50, 75, 95]","[[[16, 36], 16], [[36, 84], 36], [[84, 93], 84], [[93, 100], 93]]","[[[16, 36], 16], [[36, 84], 36], [[84, 93], 84], [[93, 100], 93]]",[],[],[]
artificial_language_g0_24,"[1, 2, 3, 4, 5, 6, 7]","[8, 16, 24, 42]","[19, 38, 67]","[[[8, 16], 8], [[16, 24], 16], [[24, 42], 24], [[42, 100], 42]]","[[[8, 16], 1], [[16, 24], 16], [[24, 42], 24], [[42, 100], 42]]","[[[8, 16], 8]]",[],"[[8, [8, 16], '(1 * 8)'], [16, [16, 24], '(1 * 16)'], [24, [24, 42], '(1 * 24)'], [42, [42, 43], '(1 * 42)']]"
artificial_language_g0_25,"[1, 2, 3, 4, 5, 6]","[7, 10, 42, 51, 96]","[41, 59, 80, 92]","[[[7, 10], 7], [[10, 42], 10], [[42, 51], 42], [[51, 96], 51], [[96, 100], 96]]","[[[7, 10], 7], [[10, 42], 10], [[42, 51], 42], [[51, 96], 51], [[96, 100], 96]]",[],[],[]
artificial_language_g0_26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 53, 79, 97]","[27, 57]","[[[19, 53], 19], [[53, 79], 53], [[79, 97], 79], [[97, 100], 97]]","[[[19, 53], 19], [[53, 79], 53], [[79, 97], 79], [[97, 100], 97]]",[],[],[]
artificial_language_g0_27,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 20]",[23],"[[[10, 20], 10], [[20, 100], 20]]","[[[10, 20], 9], [[20, 100], 20]]","[[[10, 20], 2]]",[],[]
artificial_language_g0_28,"[1, 2, 3, 4, 5, 6, 7, 8]",[9],"[92, 93]","[[[9, 100], 9]]","[[[9, 100], 9]]",[],[],"[[9, [9, 10], '(1 * 9)']]"
artificial_language_g0_29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 35]","[21, 28, 37, 46, 97]","[[[20, 35], 20], [[35, 100], 35]]","[[[20, 35], 20], [[35, 100], 35]]",[],[],[]
artificial_language_g0_30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 72]","[22, 47, 94]","[[[11, 72], 11], [[72, 100], 72]]","[[[11, 72], 11], [[72, 100], 72]]",[],[],"[[11, [11, 72], '(1 * 11)'], [72, [72, 73], '(1 * 72)']]"
artificial_language_g0_31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 23, 99]",[90],"[[[17, 23], 17], [[23, 99], 23], [[99, 100], 99]]","[[[17, 23], 17], [[23, 99], 23], [[99, 100], 99]]",[],[],[]
artificial_language_g0_32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 17, 22, 32]",[],"[[[14, 17], 14], [[17, 22], 17], [[22, 32], 22], [[32, 100], 32]]","[[[14, 17], 14], [[17, 22], 17], [[22, 32], 22], [[32, 100], 32]]",[],[],[]
artificial_language_g0_33,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 73, 86]","[26, 28, 71, 85]","[[[11, 73], 11], [[73, 86], 73], [[86, 100], 86]]","[[[11, 73], 11], [[73, 86], 73], [[86, 100], 86]]",[],[],"[[11, [11, 73], '(1 * 11)'], [73, [73, 86], '(1 * 73)'], [86, [86, 87], '(1 * 86)']]"
artificial_language_g0_34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 91]","[22, 34, 37]","[[[18, 36], 18], [[36, 91], 36], [[91, 100], 91]]","[[[18, 36], 9], [[36, 91], 36], [[91, 100], 91]]","[[[18, 36], 10]]",[],[]
artificial_language_g0_35,"[1, 2, 3, 4]","[5, 39, 52, 84]","[63, 74, 78]","[[[5, 39], 5], [[39, 52], 39], [[52, 84], 52], [[84, 100], 84]]","[[[5, 39], 5], [[39, 52], 39], [[52, 84], 52], [[84, 100], 84]]",[],[],[]
artificial_language_g0_36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 29, 43, 57]","[38, 40, 68, 78, 85]","[[[20, 29], 20], [[29, 43], 29], [[43, 57], 43], [[57, 100], 57]]","[[[20, 29], 20], [[29, 43], 29], [[43, 57], 43], [[57, 100], 57]]",[],[],"[[20, [20, 29], '(1 * 20)'], [29, [29, 43], '(1 * 29)'], [43, [43, 57], '(1 * 43)'], [57, [57, 58], '(1 * 57)']]"
artificial_language_g0_37,"[1, 2, 3, 4, 5, 6, 7]","[8, 43, 59, 85, 94]","[25, 27]","[[[8, 43], 8], [[43, 59], 43], [[59, 85], 59], [[85, 94], 85], [[94, 100], 94]]","[[[8, 43], 8], [[43, 59], 43], [[59, 85], 59], [[85, 94], 85], [[94, 100], 94]]",[],[],[]
artificial_language_g0_38,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[21],"[70, 85, 87]","[[[21, 100], 21]]","[[[21, 100], 21]]",[],[],[]
artificial_language_g0_39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 21, 81]","[24, 78]","[[[11, 21], 11], [[21, 81], 21], [[81, 100], 81]]","[[[11, 21], 11], [[21, 81], 21], [[81, 100], 81]]",[],[],[]
artificial_language_g0_40,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 21, 49, 50]","[14, 41, 62, 91]","[[[13, 21], 13], [[21, 49], 21], [[49, 50], 49], [[50, 100], 50]]","[[[13, 21], 13], [[21, 49], 21], [[49, 50], 49], [[50, 100], 50]]",[],[],[]
artificial_language_g0_41,"[1, 2, 3, 4]","[5, 12]","[33, 61, 82]","[[[5, 12], 5], [[12, 100], 12]]","[[[5, 12], 5], [[12, 100], 12]]",[],[],[]
artificial_language_g0_42,"[1, 2, 3, 4, 5, 6, 7]",[8],[],"[[[8, 100], 8]]","[[[8, 100], 8]]",[],[],"[[8, [8, 9], '(1 * 8)']]"
artificial_language_g0_43,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 65, 67, 72]","[33, 35, 39, 82, 92]","[[[21, 65], 21], [[65, 67], 65], [[67, 72], 67], [[72, 100], 72]]","[[[21, 65], 21], [[65, 67], 65], [[67, 72], 67], [[72, 100], 72]]",[],[],[]
artificial_language_g0_44,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 19, 55]","[18, 40, 88]","[[[15, 19], 15], [[19, 55], 19], [[55, 100], 55]]","[[[15, 19], 15], [[19, 55], 19], [[55, 100], 55]]",[],[],[]
artificial_language_g0_45,"[1, 2, 3]","[4, 30, 60, 82, 86]","[9, 52, 53, 70]","[[[4, 30], 4], [[30, 60], 30], [[60, 82], 60], [[82, 86], 82], [[86, 100], 86]]","[[[4, 30], 4], [[30, 60], 30], [[60, 82], 60], [[82, 86], 82], [[86, 100], 86]]",[],[],[]
artificial_language_g0_46,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[13],"[27, 64, 75, 78]","[[[13, 100], 13]]","[[[13, 100], 13]]",[],[],[]
artificial_language_g0_47,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 44, 52]",[57],"[[[21, 44], 21], [[44, 52], 44], [[52, 100], 52]]","[[[21, 44], 21], [[44, 52], 44], [[52, 100], 52]]",[],[],[]
artificial_language_g0_48,[1],"[2, 68, 80, 89]","[16, 61, 93]","[[[2, 68], 2], [[68, 80], 68], [[80, 89], 80], [[89, 100], 89]]","[[[2, 68], 2], [[68, 80], 68], [[80, 89], 80], [[89, 100], 89]]",[],[],[]
artificial_language_g0_49,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 58, 88]","[67, 89]","[[[18, 36], 18], [[36, 58], 36], [[58, 88], 58], [[88, 100], 88]]","[[[18, 36], 9], [[36, 58], 36], [[58, 88], 58], [[88, 100], 88]]","[[[18, 36], 10]]",[],[]
artificial_language_g0_50,"[1, 2, 3, 4, 5, 6, 7]","[8, 55, 68, 88]","[34, 37, 51, 54, 81]","[[[8, 55], 8], [[55, 68], 55], [[68, 88], 68], [[88, 100], 88]]","[[[8, 55], 8], [[55, 68], 55], [[68, 88], 68], [[88, 100], 88]]",[],[],[]
artificial_language_g0_51,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30, 47]",[74],"[[[15, 30], 15], [[30, 47], 30], [[47, 100], 47]]","[[[15, 30], 7], [[30, 47], 30], [[47, 100], 47]]","[[[15, 30], 9]]",[],"[[15, [15, 30], '(1 * 15)'], [30, [30, 47], '(1 * 30)'], [47, [47, 48], '(1 * 47)']]"
artificial_language_g0_52,"[1, 2, 3, 4, 5]","[6, 45, 68]","[39, 74]","[[[6, 45], 6], [[45, 68], 45], [[68, 100], 68]]","[[[6, 45], 6], [[45, 68], 45], [[68, 100], 68]]",[],[],[]
artificial_language_g0_53,"[1, 2, 3, 4]","[5, 10, 76]","[40, 73, 96]","[[[5, 10], 5], [[10, 76], 10], [[76, 100], 76]]","[[[5, 10], 1], [[10, 76], 10], [[76, 100], 76]]","[[[5, 10], 5]]",[],[]
artificial_language_g0_54,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 47]",[78],"[[[18, 47], 18], [[47, 100], 47]]","[[[18, 47], 18], [[47, 100], 47]]",[],[],[]
artificial_language_g0_55,"[1, 2, 3]","[4, 69]","[20, 22, 41, 76]","[[[4, 69], 4], [[69, 100], 69]]","[[[4, 69], 4], [[69, 100], 69]]",[],[],[]
artificial_language_g0_56,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 64, 96]",[48],"[[[14, 64], 14], [[64, 96], 64], [[96, 100], 96]]","[[[14, 64], 14], [[64, 96], 64], [[96, 100], 96]]",[],[],[]
artificial_language_g0_57,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 35, 57, 58]","[23, 89]","[[[12, 35], 12], [[35, 57], 35], [[57, 58], 57], [[58, 100], 58]]","[[[12, 35], 12], [[35, 57], 35], [[57, 58], 57], [[58, 100], 58]]",[],[],[]
artificial_language_g0_58,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 25, 61]","[19, 36, 43, 55, 79]","[[[15, 25], 15], [[25, 61], 25], [[61, 100], 61]]","[[[15, 25], 15], [[25, 61], 25], [[61, 100], 61]]",[],[],[]
artificial_language_g0_59,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 33, 58, 71, 82]","[23, 28, 30, 31, 41]","[[[16, 33], 16], [[33, 58], 33], [[58, 71], 58], [[71, 82], 71], [[82, 100], 82]]","[[[16, 33], 16], [[33, 58], 33], [[58, 71], 58], [[71, 82], 71], [[82, 100], 82]]",[],[],"[[16, [16, 33], '(1 * 16)'], [33, [33, 58], '(1 * 33)'], [58, [58, 71], '(1 * 58)'], [71, [71, 82], '(1 * 71)'], [82, [82, 83], '(1 * 82)']]"
artificial_language_g0_60,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 22]","[21, 46, 91]","[[[17, 22], 17], [[22, 100], 22]]","[[[17, 22], 17], [[22, 100], 22]]",[],[],[]
artificial_language_g0_61,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 35, 80, 93]",[70],"[[[18, 35], 18], [[35, 80], 35], [[80, 93], 80], [[93, 100], 93]]","[[[18, 35], 18], [[35, 80], 35], [[80, 93], 80], [[93, 100], 93]]",[],[],[]
artificial_language_g0_62,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 38, 75]",[92],"[[[9, 38], 9], [[38, 75], 38], [[75, 100], 75]]","[[[9, 38], 9], [[38, 75], 38], [[75, 100], 75]]",[],[],[]
artificial_language_g0_63,"[1, 2, 3, 4]",[5],[],"[[[5, 100], 5]]","[[[5, 100], 5]]",[],[],[]
artificial_language_g0_64,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 87, 95]",[],"[[[16, 87], 16], [[87, 95], 87], [[95, 100], 95]]","[[[16, 87], 16], [[87, 95], 87], [[95, 100], 95]]",[],[],[]
artificial_language_g0_65,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 23]","[15, 27, 46, 71]","[[[12, 23], 12], [[23, 100], 23]]","[[[12, 23], 12], [[23, 100], 23]]",[],[],[]
artificial_language_g0_66,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 27, 76, 83]","[31, 43, 47, 56, 65]","[[[18, 27], 18], [[27, 76], 27], [[76, 83], 76], [[83, 100], 83]]","[[[18, 27], 18], [[27, 76], 27], [[76, 83], 76], [[83, 100], 83]]",[],[],[]
artificial_language_g0_67,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 87, 94]",[81],"[[[16, 87], 16], [[87, 94], 87], [[94, 100], 94]]","[[[16, 87], 16], [[87, 94], 87], [[94, 100], 94]]",[],[],"[[16, [16, 87], '(1 * 16)'], [87, [87, 94], '(1 * 87)'], [94, [94, 95], '(1 * 94)']]"
artificial_language_g0_68,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 27, 78]","[29, 52, 64, 84]","[[[20, 27], 20], [[27, 78], 27], [[78, 100], 78]]","[[[20, 27], 20], [[27, 78], 27], [[78, 100], 78]]",[],[],[]
artificial_language_g0_69,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 36, 40, 49, 90]","[28, 54, 85, 92]","[[[11, 36], 11], [[36, 40], 36], [[40, 49], 40], [[49, 90], 49], [[90, 100], 90]]","[[[11, 36], 11], [[36, 40], 36], [[40, 49], 40], [[49, 90], 49], [[90, 100], 90]]",[],[],"[[11, [11, 36], '(1 * 11)'], [36, [36, 40], '(1 * 36)'], [40, [40, 49], '(1 * 40)'], [49, [49, 90], '(1 * 49)'], [90, [90, 91], '(1 * 90)']]"
artificial_language_g0_70,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 83]","[60, 72, 95]","[[[10, 83], 10], [[83, 100], 83]]","[[[10, 83], 10], [[83, 100], 83]]",[],[],"[[10, [10, 83], '(1 * 10)'], [83, [83, 84], '(1 * 83)']]"
artificial_language_g0_71,"[1, 2, 3]","[4, 5, 47, 50, 51]",[],"[[[4, 5], 4], [[5, 47], 5], [[47, 50], 47], [[50, 51], 50], [[51, 100], 51]]","[[[4, 5], 4], [[5, 47], 5], [[47, 50], 47], [[50, 51], 50], [[51, 100], 51]]",[],[],[]
artificial_language_g0_72,"[1, 2, 3, 4, 5, 6]","[7, 14, 25, 41, 50]",[66],"[[[7, 14], 7], [[14, 25], 14], [[25, 41], 25], [[41, 50], 41], [[50, 100], 50]]","[[[7, 14], 4], [[14, 25], 14], [[25, 41], 25], [[41, 50], 41], [[50, 100], 50]]","[[[7, 14], 4]]",[],"[[7, [7, 14], '(1 * 7)'], [14, [14, 25], '(1 * 14)'], [25, [25, 41], '(1 * 25)'], [41, [41, 50], '(1 * 41)'], [50, [50, 51], '(1 * 50)']]"
artificial_language_g0_73,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30]","[56, 76, 85]","[[[15, 30], 15], [[30, 100], 30]]","[[[15, 30], 10], [[30, 100], 30]]","[[[15, 30], 6]]",[],[]
artificial_language_g0_74,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 52, 62, 93]",[],"[[[20, 52], 20], [[52, 62], 52], [[62, 93], 62], [[93, 100], 93]]","[[[20, 52], 20], [[52, 62], 52], [[62, 93], 62], [[93, 100], 93]]",[],[],"[[20, [20, 52], '(1 * 20)'], [52, [52, 62], '(1 * 52)'], [62, [62, 93], '(1 * 62)'], [93, [93, 94], '(1 * 93)']]"
artificial_language_g0_75,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 18, 19, 28, 71]","[37, 88]","[[[13, 18], 13], [[18, 19], 18], [[19, 28], 19], [[28, 71], 28], [[71, 100], 71]]","[[[13, 18], 13], [[18, 19], 18], [[19, 28], 19], [[28, 71], 28], [[71, 100], 71]]",[],[],[]
artificial_language_g0_76,"[1, 2, 3, 4, 5, 6]","[7, 15, 29, 64]","[10, 13, 54, 74, 83]","[[[7, 15], 7], [[15, 29], 15], [[29, 64], 29], [[64, 100], 64]]","[[[7, 15], 7], [[15, 29], 15], [[29, 64], 29], [[64, 100], 64]]",[],[],[]
artificial_language_g0_77,"[1, 2, 3, 4]","[5, 10, 18, 19, 81]",[],"[[[5, 10], 5], [[10, 18], 10], [[18, 19], 18], [[19, 81], 19], [[81, 100], 81]]","[[[5, 10], 2], [[10, 18], 10], [[18, 19], 18], [[19, 81], 19], [[81, 100], 81]]","[[[5, 10], 4]]",[],"[[5, [5, 10], '(1 * 5)'], [10, [10, 18], '(1 * 10)'], [18, [18, 19], '(1 * 18)'], [19, [19, 81], '(1 * 19)'], [81, [81, 82], '(1 * 81)']]"
artificial_language_g0_78,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[11],"[14, 75, 81, 84]","[[[11, 100], 11]]","[[[11, 100], 11]]",[],[],[]
artificial_language_g0_79,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30, 46, 91]","[32, 39, 42, 82]","[[[15, 30], 15], [[30, 46], 30], [[46, 91], 46], [[91, 100], 91]]","[[[15, 30], 2], [[30, 46], 30], [[46, 91], 46], [[91, 100], 91]]","[[[15, 30], 14]]",[],[]
artificial_language_g0_80,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 13, 15, 30]","[34, 54, 92]","[[[9, 13], 9], [[13, 15], 13], [[15, 30], 15], [[30, 100], 30]]","[[[9, 13], 9], [[13, 15], 13], [[15, 30], 15], [[30, 100], 30]]",[],[],"[[9, [9, 13], '(1 * 9)'], [13, [13, 15], '(1 * 13)'], [15, [15, 30], '(1 * 15)'], [30, [30, 31], '(1 * 30)']]"
artificial_language_g0_81,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 52, 58]",[80],"[[[17, 52], 17], [[52, 58], 52], [[58, 100], 58]]","[[[17, 52], 17], [[52, 58], 52], [[58, 100], 58]]",[],[],"[[17, [17, 52], '(1 * 17)'], [52, [52, 58], '(1 * 52)'], [58, [58, 59], '(1 * 58)']]"
artificial_language_g0_82,"[1, 2, 3]","[4, 8, 89]",[88],"[[[4, 8], 4], [[8, 89], 8], [[89, 100], 89]]","[[[4, 8], 3], [[8, 89], 8], [[89, 100], 89]]","[[[4, 8], 2]]",[],[]
artificial_language_g0_83,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 35, 48]","[20, 27, 45, 71]","[[[10, 35], 10], [[35, 48], 35], [[48, 100], 48]]","[[[10, 35], 10], [[35, 48], 35], [[48, 100], 48]]",[],[],"[[10, [10, 35], '(1 * 10)'], [35, [35, 48], '(1 * 35)'], [48, [48, 49], '(1 * 48)']]"
