language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 34, 90]","[22, 26, 37, 38]","[[[17, 34], 17], [[34, 90], 34], [[90, 100], 90]]","[[[17, 34], 3], [[34, 90], 34], [[90, 100], 90]]","[[[17, 34], 15]]",[],"[[17, [17, 34], '(1 * 17)'], [34, [34, 90], '(1 * 34)'], [90, [90, 91], '(1 * 90)']]"
artificial_language_g0_14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 22, 27, 41, 98]",[78],"[[[14, 22], 14], [[22, 27], 22], [[27, 41], 27], [[41, 98], 41], [[98, 100], 98]]","[[[14, 22], 14], [[22, 27], 22], [[27, 41], 27], [[41, 98], 41], [[98, 100], 98]]",[],[],[]
artificial_language_g0_15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 34, 64]","[22, 25, 45, 59, 96]","[[[17, 34], 17], [[34, 64], 34], [[64, 100], 64]]","[[[17, 34], 13], [[34, 64], 34], [[64, 100], 64]]","[[[17, 34], 5]]",[],[]
artificial_language_g0_16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 28]","[41, 72, 73, 99]","[[[14, 28], 14], [[28, 100], 28]]","[[[14, 28], 7], [[28, 100], 28]]","[[[14, 28], 8]]",[],[]
artificial_language_g0_17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 57, 60]","[22, 93, 96]","[[[16, 57], 16], [[57, 60], 57], [[60, 100], 60]]","[[[16, 57], 16], [[57, 60], 57], [[60, 100], 60]]",[],[],[]
artificial_language_g0_18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 26, 74]","[30, 42, 97]","[[[13, 26], 13], [[26, 74], 26], [[74, 100], 74]]","[[[13, 26], 7], [[26, 74], 26], [[74, 100], 74]]","[[[13, 26], 7]]",[],"[[13, [13, 26], '(1 * 13)'], [26, [26, 74], '(1 * 26)'], [74, [74, 75], '(1 * 74)']]"
artificial_language_g0_19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 32, 35, 90]",[],"[[[14, 32], 14], [[32, 35], 32], [[35, 90], 35], [[90, 100], 90]]","[[[14, 32], 14], [[32, 35], 32], [[35, 90], 35], [[90, 100], 90]]",[],[],[]
artificial_language_g0_20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 38, 68, 89]",[],"[[[18, 38], 18], [[38, 68], 38], [[68, 89], 68], [[89, 100], 89]]","[[[18, 38], 18], [[38, 68], 38], [[68, 89], 68], [[89, 100], 89]]",[],[],[]
artificial_language_g0_21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 67, 75, 99]","[31, 49, 57, 82]","[[[18, 36], 18], [[36, 67], 36], [[67, 75], 67], [[75, 99], 75], [[99, 100], 99]]","[[[18, 36], 5], [[36, 67], 36], [[67, 75], 67], [[75, 99], 75], [[99, 100], 99]]","[[[18, 36], 14]]",[],[]
artificial_language_g0_22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30]","[37, 65, 80]","[[[15, 30], 15], [[30, 100], 30]]","[[[15, 30], 10], [[30, 100], 30]]","[[[15, 30], 6]]",[],[]
artificial_language_g0_23,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 19, 76, 90]",[21],"[[[16, 19], 16], [[19, 76], 19], [[76, 90], 76], [[90, 100], 90]]","[[[16, 19], 16], [[19, 76], 19], [[76, 90], 76], [[90, 100], 90]]",[],[],[]
artificial_language_g0_24,[1],"[2, 18, 35, 71, 93]","[26, 54, 62, 66]","[[[2, 18], 2], [[18, 35], 18], [[35, 71], 35], [[71, 93], 71], [[93, 100], 93]]","[[[2, 18], 2], [[18, 35], 18], [[35, 71], 35], [[71, 93], 71], [[93, 100], 93]]",[],[],[]
artificial_language_g0_25,"[1, 2, 3, 4, 5, 6]",[7],"[24, 28, 43]","[[[7, 100], 7]]","[[[7, 100], 7]]",[],[],"[[7, [7, 8], '(1 * 7)']]"
artificial_language_g0_26,"[1, 2]",[3],"[22, 28, 71]","[[[3, 100], 3]]","[[[3, 100], 3]]",[],[],"[[3, [3, 4], '(1 * 3)']]"
artificial_language_g0_27,[1],"[2, 34, 66]","[24, 71, 77]","[[[2, 34], 2], [[34, 66], 34], [[66, 100], 66]]","[[[2, 34], 2], [[34, 66], 34], [[66, 100], 66]]",[],[],[]
artificial_language_g0_28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",[17],[],"[[[17, 100], 17]]","[[[17, 100], 17]]",[],[],"[[17, [17, 18], '(1 * 17)']]"
artificial_language_g0_29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 51, 52, 78, 97]",[47],"[[[11, 51], 11], [[51, 52], 51], [[52, 78], 52], [[78, 97], 78], [[97, 100], 97]]","[[[11, 51], 11], [[51, 52], 51], [[52, 78], 52], [[78, 97], 78], [[97, 100], 97]]",[],[],[]
artificial_language_g0_30,"[1, 2, 3, 4, 5]",[6],[],"[[[6, 100], 6]]","[[[6, 100], 6]]",[],[],"[[6, [6, 7], '(1 * 6)']]"
artificial_language_g0_31,"[1, 2, 3]","[4, 8, 21]",[],"[[[4, 8], 4], [[8, 21], 8], [[21, 100], 21]]","[[[4, 8], 1], [[8, 21], 8], [[21, 100], 21]]","[[[4, 8], 4]]",[],[]
artificial_language_g0_32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36]","[43, 59, 78, 80]","[[[18, 36], 18], [[36, 100], 36]]","[[[18, 36], 16], [[36, 100], 36]]","[[[18, 36], 3]]",[],[]
artificial_language_g0_33,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 38, 51, 84]","[24, 50, 75, 86, 90]","[[[19, 38], 19], [[38, 51], 38], [[51, 84], 51], [[84, 100], 84]]","[[[19, 38], 6], [[38, 51], 38], [[51, 84], 51], [[84, 100], 84]]","[[[19, 38], 14]]",[],"[[19, [19, 38], '(1 * 19)'], [38, [38, 51], '(1 * 38)'], [51, [51, 84], '(1 * 51)'], [84, [84, 85], '(1 * 84)']]"
artificial_language_g0_34,"[1, 2, 3]","[4, 38]","[26, 63, 74, 86, 93]","[[[4, 38], 4], [[38, 100], 38]]","[[[4, 38], 4], [[38, 100], 38]]",[],[],[]
artificial_language_g0_35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 20, 40, 98]","[49, 51, 87]","[[[15, 20], 15], [[20, 40], 20], [[40, 98], 40], [[98, 100], 98]]","[[[15, 20], 15], [[20, 40], 20], [[40, 98], 40], [[98, 100], 98]]",[],[],[]
artificial_language_g0_36,"[1, 2, 3, 4, 5]",[6],"[11, 19]","[[[6, 100], 6]]","[[[6, 100], 6]]",[],[],[]
artificial_language_g0_37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 20, 89, 92]",[],"[[[14, 20], 14], [[20, 89], 20], [[89, 92], 89], [[92, 100], 92]]","[[[14, 20], 14], [[20, 89], 20], [[89, 92], 89], [[92, 100], 92]]",[],[],[]
artificial_language_g0_38,[1],"[2, 4, 8, 22, 94]","[4, 25, 47, 96]","[[[2, 4], 2], [[4, 8], 4], [[8, 22], 8], [[22, 94], 22], [[94, 100], 94]]","[[[2, 4], 1], [[4, 8], 4], [[8, 22], 8], [[22, 94], 22], [[94, 100], 94]]","[[[2, 4], 2]]",[],[]
artificial_language_g0_39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 50, 77, 93]","[31, 41, 57]","[[[19, 50], 19], [[50, 77], 50], [[77, 93], 77], [[93, 100], 93]]","[[[19, 50], 19], [[50, 77], 50], [[77, 93], 77], [[93, 100], 93]]",[],[],[]
artificial_language_g0_40,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 43, 62]",[],"[[[13, 43], 13], [[43, 62], 43], [[62, 100], 62]]","[[[13, 43], 13], [[43, 62], 43], [[62, 100], 62]]",[],[],[]
artificial_language_g0_41,"[1, 2, 3]","[4, 8, 74]",[38],"[[[4, 8], 4], [[8, 74], 8], [[74, 100], 74]]","[[[4, 8], 1], [[8, 74], 8], [[74, 100], 74]]","[[[4, 8], 4]]",[],[]
artificial_language_g0_42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",[19],"[43, 64, 65, 74, 91]","[[[19, 100], 19]]","[[[19, 100], 19]]",[],[],[]
artificial_language_g0_43,"[1, 2, 3, 4, 5, 6]","[7, 14, 34, 45, 82]","[54, 59]","[[[7, 14], 7], [[14, 34], 14], [[34, 45], 34], [[45, 82], 45], [[82, 100], 82]]","[[[7, 14], 4], [[14, 34], 14], [[34, 45], 34], [[45, 82], 45], [[82, 100], 82]]","[[[7, 14], 4]]",[],[]
artificial_language_g0_44,"[1, 2, 3, 4]","[5, 10]","[19, 83]","[[[5, 10], 5], [[10, 100], 10]]","[[[5, 10], 2], [[10, 100], 10]]","[[[5, 10], 4]]",[],"[[5, [5, 10], '(1 * 5)'], [10, [10, 11], '(1 * 10)']]"
artificial_language_g0_45,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 34, 84, 85, 89]",[46],"[[[11, 34], 11], [[34, 84], 34], [[84, 85], 84], [[85, 89], 85], [[89, 100], 89]]","[[[11, 34], 11], [[34, 84], 34], [[84, 85], 84], [[85, 89], 85], [[89, 100], 89]]",[],[],[]
artificial_language_g0_46,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 30, 34, 41]","[22, 54]","[[[20, 30], 20], [[30, 34], 30], [[34, 41], 34], [[41, 100], 41]]","[[[20, 30], 20], [[30, 34], 30], [[34, 41], 34], [[41, 100], 41]]",[],[],[]
artificial_language_g0_47,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[21],"[61, 64, 70, 94]","[[[21, 100], 21]]","[[[21, 100], 21]]",[],[],"[[21, [21, 22], '(1 * 21)']]"
artificial_language_g0_48,"[1, 2, 3, 4, 5, 6]",[7],[85],"[[[7, 100], 7]]","[[[7, 100], 7]]",[],[],[]
artificial_language_g0_49,"[1, 2]","[3, 4, 15]","[24, 32]","[[[3, 4], 3], [[4, 15], 4], [[15, 100], 15]]","[[[3, 4], 3], [[4, 15], 4], [[15, 100], 15]]",[],[],[]
artificial_language_g0_50,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30]",[87],"[[[15, 30], 15], [[30, 100], 30]]","[[[15, 30], 5], [[30, 100], 30]]","[[[15, 30], 11]]",[],[]
artificial_language_g0_51,"[1, 2, 3, 4, 5]","[6, 9, 51, 55]","[44, 48, 61]","[[[6, 9], 6], [[9, 51], 9], [[51, 55], 51], [[55, 100], 55]]","[[[6, 9], 6], [[9, 51], 9], [[51, 55], 51], [[55, 100], 55]]",[],[],"[[6, [6, 9], '(1 * 6)'], [9, [9, 51], '(1 * 9)'], [51, [51, 55], '(1 * 51)'], [55, [55, 56], '(1 * 55)']]"
artificial_language_g0_52,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 31, 32, 45, 77]",[],"[[[21, 31], 21], [[31, 32], 31], [[32, 45], 32], [[45, 77], 45], [[77, 100], 77]]","[[[21, 31], 21], [[31, 32], 31], [[32, 45], 32], [[45, 77], 45], [[77, 100], 77]]",[],[],[]
artificial_language_g0_53,"[1, 2, 3, 4, 5, 6, 7]",[8],"[12, 28]","[[[8, 100], 8]]","[[[8, 100], 8]]",[],[],"[[8, [8, 9], '(1 * 8)']]"
artificial_language_g0_54,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 18]",[],"[[[9, 18], 9], [[18, 100], 18]]","[[[9, 18], 4], [[18, 100], 18]]","[[[9, 18], 6]]",[],"[[9, [9, 18], '(1 * 9)'], [18, [18, 19], '(1 * 18)']]"
artificial_language_g0_55,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30, 43, 61]",[80],"[[[15, 30], 15], [[30, 43], 30], [[43, 61], 43], [[61, 100], 61]]","[[[15, 30], 3], [[30, 43], 30], [[43, 61], 43], [[61, 100], 61]]","[[[15, 30], 13]]",[],[]
artificial_language_g0_56,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 19, 58, 85, 98]",[],"[[[15, 19], 15], [[19, 58], 19], [[58, 85], 58], [[85, 98], 85], [[98, 100], 98]]","[[[15, 19], 15], [[19, 58], 19], [[58, 85], 58], [[85, 98], 85], [[98, 100], 98]]",[],[],[]
artificial_language_g0_57,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 97]","[68, 76, 77, 87, 92]","[[[12, 97], 12], [[97, 100], 97]]","[[[12, 97], 12], [[97, 100], 97]]",[],[],[]
artificial_language_g0_58,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 20, 41]",[],"[[[9, 20], 9], [[20, 41], 20], [[41, 100], 41]]","[[[9, 20], 9], [[20, 41], 20], [[41, 100], 41]]",[],[],[]
artificial_language_g0_59,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 59]","[34, 76, 80]","[[[13, 59], 13], [[59, 100], 59]]","[[[13, 59], 13], [[59, 100], 59]]",[],[],[]
artificial_language_g0_60,"[1, 2, 3]","[4, 7, 70, 99]",[],"[[[4, 7], 4], [[7, 70], 7], [[70, 99], 70], [[99, 100], 99]]","[[[4, 7], 4], [[7, 70], 7], [[70, 99], 70], [[99, 100], 99]]",[],[],"[[4, [4, 7], '(1 * 4)'], [7, [7, 70], '(1 * 7)'], [70, [70, 99], '(1 * 70)'], [99, [99, 100], '(1 * 99)']]"
artificial_language_g0_61,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 36, 51]","[28, 45, 50, 96, 99]","[[[12, 36], 12], [[36, 51], 36], [[51, 100], 51]]","[[[12, 36], 12], [[36, 51], 36], [[51, 100], 51]]",[],[],"[[12, [12, 36], '(1 * 12)'], [36, [36, 51], '(1 * 36)'], [51, [51, 52], '(1 * 51)']]"
artificial_language_g0_62,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 18]",[83],"[[[17, 18], 17], [[18, 100], 18]]","[[[17, 18], 17], [[18, 100], 18]]",[],[],[]
artificial_language_g0_63,"[1, 2, 3, 4, 5, 6]","[7, 79]","[15, 21, 45, 71, 80]","[[[7, 79], 7], [[79, 100], 79]]","[[[7, 79], 7], [[79, 100], 79]]",[],[],"[[7, [7, 79], '(1 * 7)'], [79, [79, 80], '(1 * 79)']]"
artificial_language_g0_64,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 18, 51]","[20, 33, 39, 81]","[[[9, 18], 9], [[18, 51], 18], [[51, 100], 51]]","[[[9, 18], 4], [[18, 51], 18], [[51, 100], 51]]","[[[9, 18], 6]]",[],"[[9, [9, 18], '(1 * 9)'], [18, [18, 51], '(1 * 18)'], [51, [51, 52], '(1 * 51)']]"
artificial_language_g0_65,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 45, 57, 86, 98]",[99],"[[[19, 45], 19], [[45, 57], 45], [[57, 86], 57], [[86, 98], 86], [[98, 100], 98]]","[[[19, 45], 19], [[45, 57], 45], [[57, 86], 57], [[86, 98], 86], [[98, 100], 98]]",[],[],[]
artificial_language_g0_66,"[1, 2]","[3, 61, 75, 88, 92]",[42],"[[[3, 61], 3], [[61, 75], 61], [[75, 88], 75], [[88, 92], 88], [[92, 100], 92]]","[[[3, 61], 3], [[61, 75], 61], [[75, 88], 75], [[88, 92], 88], [[92, 100], 92]]",[],[],[]
artificial_language_g0_67,"[1, 2, 3, 4, 5, 6, 7]","[8, 59]","[14, 30, 45, 50, 92]","[[[8, 59], 8], [[59, 100], 59]]","[[[8, 59], 8], [[59, 100], 59]]",[],[],[]
artificial_language_g0_68,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",[14],[],"[[[14, 100], 14]]","[[[14, 100], 14]]",[],[],"[[14, [14, 15], '(1 * 14)']]"
artificial_language_g0_69,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 39, 50, 62, 92]","[37, 95]","[[[18, 39], 18], [[39, 50], 39], [[50, 62], 50], [[62, 92], 62], [[92, 100], 92]]","[[[18, 39], 18], [[39, 50], 39], [[50, 62], 50], [[62, 92], 62], [[92, 100], 92]]",[],[],[]
artificial_language_g0_70,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 42, 43, 58, 76]","[23, 30, 67, 80, 83]","[[[11, 42], 11], [[42, 43], 42], [[43, 58], 43], [[58, 76], 58], [[76, 100], 76]]","[[[11, 42], 11], [[42, 43], 42], [[43, 58], 43], [[58, 76], 58], [[76, 100], 76]]",[],[],[]
artificial_language_g0_71,"[1, 2, 3, 4, 5, 6]","[7, 54, 95]",[],"[[[7, 54], 7], [[54, 95], 54], [[95, 100], 95]]","[[[7, 54], 7], [[54, 95], 54], [[95, 100], 95]]",[],[],[]
artificial_language_g0_72,"[1, 2, 3, 4, 5, 6]","[7, 33, 73, 98]",[],"[[[7, 33], 7], [[33, 73], 33], [[73, 98], 73], [[98, 100], 98]]","[[[7, 33], 7], [[33, 73], 33], [[73, 98], 73], [[98, 100], 98]]",[],[],[]
artificial_language_g0_73,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 36, 57, 70, 75]","[42, 64, 65]","[[[11, 36], 11], [[36, 57], 36], [[57, 70], 57], [[70, 75], 70], [[75, 100], 75]]","[[[11, 36], 11], [[36, 57], 36], [[57, 70], 57], [[70, 75], 70], [[75, 100], 75]]",[],[],"[[11, [11, 36], '(1 * 11)'], [36, [36, 57], '(1 * 36)'], [57, [57, 70], '(1 * 57)'], [70, [70, 75], '(1 * 70)'], [75, [75, 76], '(1 * 75)']]"
artificial_language_g0_74,"[1, 2]","[3, 54, 71]","[44, 66]","[[[3, 54], 3], [[54, 71], 54], [[71, 100], 71]]","[[[3, 54], 3], [[54, 71], 54], [[71, 100], 71]]",[],[],[]
artificial_language_g0_75,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 40, 52, 63]","[32, 84, 97]","[[[20, 40], 20], [[40, 52], 40], [[52, 63], 52], [[63, 100], 63]]","[[[20, 40], 6], [[40, 52], 40], [[52, 63], 52], [[63, 100], 63]]","[[[20, 40], 15]]",[],[]
artificial_language_g0_76,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 26]",[],"[[[13, 26], 13], [[26, 100], 26]]","[[[13, 26], 6], [[26, 100], 26]]","[[[13, 26], 8]]",[],[]
artificial_language_g0_77,"[1, 2]","[3, 19, 78]","[11, 26, 85, 90]","[[[3, 19], 3], [[19, 78], 19], [[78, 100], 78]]","[[[3, 19], 3], [[19, 78], 19], [[78, 100], 78]]",[],[],[]
artificial_language_g0_78,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[13],[21],"[[[13, 100], 13]]","[[[13, 100], 13]]",[],[],[]
artificial_language_g0_79,"[1, 2, 3, 4]","[5, 10]","[40, 64]","[[[5, 10], 5], [[10, 100], 10]]","[[[5, 10], 4], [[10, 100], 10]]","[[[5, 10], 2]]",[],[]
artificial_language_g0_80,"[1, 2, 3, 4, 5]","[6, 12, 58, 80]","[50, 77]","[[[6, 12], 6], [[12, 58], 12], [[58, 80], 58], [[80, 100], 80]]","[[[6, 12], 4], [[12, 58], 12], [[58, 80], 58], [[80, 100], 80]]","[[[6, 12], 3]]",[],[]
artificial_language_g0_81,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 22, 68, 69, 86]","[36, 51]","[[[11, 22], 11], [[22, 68], 22], [[68, 69], 68], [[69, 86], 69], [[86, 100], 86]]","[[[11, 22], 5], [[22, 68], 22], [[68, 69], 68], [[69, 86], 69], [[86, 100], 86]]","[[[11, 22], 7]]",[],[]
artificial_language_g0_82,"[1, 2, 3, 4]","[5, 10, 93]","[20, 22, 40, 66]","[[[5, 10], 5], [[10, 93], 10], [[93, 100], 93]]","[[[5, 10], 2], [[10, 93], 10], [[93, 100], 93]]","[[[5, 10], 4]]",[],[]
artificial_language_g0_83,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 20, 39, 55, 62]","[36, 60]","[[[10, 20], 10], [[20, 39], 20], [[39, 55], 39], [[55, 62], 55], [[62, 100], 62]]","[[[10, 20], 9], [[20, 39], 20], [[39, 55], 39], [[55, 62], 55], [[62, 100], 62]]","[[[10, 20], 2]]",[],"[[10, [10, 20], '(1 * 10)'], [20, [20, 39], '(1 * 20)'], [39, [39, 55], '(1 * 39)'], [55, [55, 62], '(1 * 55)'], [62, [62, 63], '(1 * 62)']]"
artificial_language_g0_84,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 18, 38]","[54, 71]","[[[9, 18], 9], [[18, 38], 18], [[38, 100], 38]]","[[[9, 18], 8], [[18, 38], 18], [[38, 100], 38]]","[[[9, 18], 2]]",[],"[[9, [9, 18], '(1 * 9)'], [18, [18, 38], '(1 * 18)'], [38, [38, 39], '(1 * 38)']]"
artificial_language_g0_85,[1],[2],"[9, 35, 51, 53, 83]","[[[2, 100], 2]]","[[[2, 100], 2]]",[],[],[]
artificial_language_g0_86,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 69]","[26, 36]","[[[18, 69], 18], [[69, 100], 69]]","[[[18, 69], 18], [[69, 100], 69]]",[],[],"[[18, [18, 69], '(1 * 18)'], [69, [69, 70], '(1 * 69)']]"
artificial_language_g0_87,"[1, 2, 3, 4, 5, 6]","[7, 14]","[9, 23, 32, 45, 68]","[[[7, 14], 7], [[14, 100], 14]]","[[[7, 14], 6], [[14, 100], 14]]","[[[7, 14], 2]]",[],"[[7, [7, 14], '(1 * 7)'], [14, [14, 15], '(1 * 14)']]"
artificial_language_g0_88,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 54, 73]",[30],"[[[10, 54], 10], [[54, 73], 54], [[73, 100], 73]]","[[[10, 54], 10], [[54, 73], 54], [[73, 100], 73]]",[],[],[]
